Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,ScaleBlazor\Client\ScaleBlazor.Client.csproj,File,ScaleBlazor\Client\ScaleBlazor.Client.csproj,,,Microsoft.AspNetCore.Components.WebAssembly 7.0.19,,,,,"Microsoft.AspNetCore.Components.WebAssembly, 7.0.19  Recommendation:  Remove Microsoft.AspNetCore.Components.WebAssembly, and replace with new package Microsoft.AspNetCore.Components.WebAssembly 10.0.6"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,ScaleBlazor\Client\ScaleBlazor.Client.csproj,File,ScaleBlazor\Client\ScaleBlazor.Client.csproj,,,Microsoft.AspNetCore.Components.WebAssembly.DevServer 7.0.19,,,,,"Microsoft.AspNetCore.Components.WebAssembly.DevServer, 7.0.19  Recommendation:  Remove Microsoft.AspNetCore.Components.WebAssembly.DevServer, and replace with new package Microsoft.AspNetCore.Components.WebAssembly.DevServer 10.0.6"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,ScaleBlazor\Client\ScaleBlazor.Client.csproj,File,ScaleBlazor\Client\ScaleBlazor.Client.csproj,,,Microsoft.Extensions.Http 7.0.0,,,,,"Microsoft.Extensions.Http, 7.0.0  Recommendation:  Remove Microsoft.Extensions.Http, and replace with new package Microsoft.Extensions.Http 10.0.6"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,ScaleBlazor\Client\ScaleBlazor.Client.csproj,File,ScaleBlazor\Client\ScaleBlazor.Client.csproj,,,,,,,,Current target framework: net7.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ScaleBlazor\Client\ScaleBlazor.Client.csproj,File,ScaleBlazor\Client\obj\Debug\net7.0\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Pages/Settings_razor.g.cs,1267,12,T:System.Net.Http.HttpContent,,,,,speedTestResult = await response.Content.ReadAsStringAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ScaleBlazor\Client\ScaleBlazor.Client.csproj,File,ScaleBlazor\Client\obj\Debug\net7.0\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Pages/Settings_razor.g.cs,1260,16,T:System.Net.Http.HttpContent,,,,,var errorContent = await response.Content.ReadAsStringAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ScaleBlazor\Client\ScaleBlazor.Client.csproj,File,ScaleBlazor\Client\obj\Debug\net7.0\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Pages/Settings_razor.g.cs,1223,12,T:System.Net.Http.HttpContent,,,,,var readings = await response.Content.ReadFromJsonAsync<List<string>>();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ScaleBlazor\Client\ScaleBlazor.Client.csproj,File,ScaleBlazor\Client\obj\Debug\net7.0\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Pages/Settings_razor.g.cs,1215,16,T:System.Net.Http.HttpContent,,,,,var errorContent = await response.Content.ReadAsStringAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ScaleBlazor\Client\ScaleBlazor.Client.csproj,File,ScaleBlazor\Client\obj\Debug\net7.0\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Pages/Settings_razor.g.cs,1151,16,T:System.Net.Http.HttpContent,,,,,var result = await response.Content.ReadFromJsonAsync<PurgeResult>();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ScaleBlazor\Client\ScaleBlazor.Client.csproj,File,ScaleBlazor\Client\obj\Debug\net7.0\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Pages/Settings_razor.g.cs,1085,16,T:System.Net.Http.HttpContent,,,,,var result = await response.Content.ReadFromJsonAsync<PortDetectionResult>();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ScaleBlazor\Client\ScaleBlazor.Client.csproj,File,ScaleBlazor\Client\obj\Debug\net7.0\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Pages/Settings_razor.g.cs,1078,16,T:System.Net.Http.HttpContent,,,,,var result = await response.Content.ReadFromJsonAsync<PortDetectionResult>();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ScaleBlazor\Client\ScaleBlazor.Client.csproj,File,ScaleBlazor\Client\obj\Debug\net7.0\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Pages/Index_razor.g.cs,1438,16,T:System.Net.Http.HttpContent,,,,,var errorBody = await response.Content.ReadAsStringAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ScaleBlazor\Client\ScaleBlazor.Client.csproj,File,ScaleBlazor\Client\obj\Debug\net7.0\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Pages/Index_razor.g.cs,1424,16,T:System.Net.Http.HttpContent,,,,,var reading = await response.Content.ReadFromJsonAsync<ScaleReading>();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ScaleBlazor\Client\ScaleBlazor.Client.csproj,File,ScaleBlazor\Client\obj\Debug\net7.0\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Pages/Index_razor.g.cs,1244,8,M:System.TimeSpan.FromMilliseconds(System.Double),,,,,"updateTimer = new Timer(async _ => await UpdateLiveReading(), null, TimeSpan.Zero, TimeSpan.FromMilliseconds(800));"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ScaleBlazor\Client\ScaleBlazor.Client.csproj,File,ScaleBlazor\Client\Services\ResilienceHandler.cs,56,16,T:System.Uri,,,,,"_logger.LogWarning(ex, ""HTTP request timed out for {Method} {Uri}. Retrying in {Delay}."",                      request.Method,                      request.RequestUri,                      delay);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ScaleBlazor\Client\ScaleBlazor.Client.csproj,File,ScaleBlazor\Client\Services\ResilienceHandler.cs,47,16,T:System.Uri,,,,,"_logger.LogWarning(ex, ""HTTP request failed for {Method} {Uri}. Retrying in {Delay}."",                      request.Method,                      request.RequestUri,                      delay);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ScaleBlazor\Client\ScaleBlazor.Client.csproj,File,ScaleBlazor\Client\Services\ResilienceHandler.cs,32,20,T:System.Uri,,,,,"_logger.LogWarning(""Transient HTTP {StatusCode} for {Method} {Uri}. Retrying in {Delay}."",                          (int)response.StatusCode,                          request.Method,                          request.RequestUri,                          delay);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ScaleBlazor\Client\ScaleBlazor.Client.csproj,File,ScaleBlazor\Client\Program.cs,14,8,M:System.TimeSpan.FromSeconds(System.Double),,,,,client.Timeout = TimeSpan.FromSeconds(5);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ScaleBlazor\Client\ScaleBlazor.Client.csproj,File,ScaleBlazor\Client\Program.cs,13,8,T:System.Uri,,,,,client.BaseAddress = new Uri(builder.HostEnvironment.BaseAddress);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ScaleBlazor\Client\ScaleBlazor.Client.csproj,File,ScaleBlazor\Client\Program.cs,13,8,M:System.Uri.#ctor(System.String),,,,,client.BaseAddress = new Uri(builder.HostEnvironment.BaseAddress);
